County,Yr2012-13,Yr2013-2014,Yr2014-2015,Yr2015-2016,Yr2016-2017
Baringo,228849175,3630408715,4057788035,4671455032,5038836421
Bomet,238883644,3715221350,4273853781,4955767288,5328028163
Bungoma,350690664,6515262210,7409081248,8077641330,8728060297
Busia,266485479,3678773577,5407981929,5716202989,6165418241
Elgeyo/Marakwet,184761998,3136513405,2992888297,3459771007,3737997115
Embu,206157142,3364281092,3961465591,4244955134,4653027222
Garissa,278980529,4696466674,5240057044,6365608261,6814383598
Homa Bay,273819737,5726215438,5132225927,5955853154,6420713836
Isiolo,176730504,2423476881,2749259339,3217689765,3470189108
Kajiado,227758969,3511792057,4063808986,4630304503,5001250430
Kakamega,397086419,7356212774,8934566933,9713667784,10518265389
Kericho,231260284,3612812629,4035898678,4756583672,5139097299
Kiambu,342658127,6264435667,6747628694,8246780249,8923097756
Kilifi,341825625,5820419123,6634886590,7834437041,8456342867
Kirinyaga,194833128,2829920840,3364324177,3741941663,4029201671
Kisii,328757322,5824258288,6428783144,7839673320,8460233029
Kisumu,275559579,4866678745,5416106404,6334176498,6811407625
Kitui,335273940,5834395950,6640215067,7542541593,8135221764
Kwale,254645429,4029400667,4641026776,5406159398,5846200085
Laikipia,191503003,2757834934,3164922061,3662031978,3946324309
Lamu,138852590,1599992103,1881725975,2192828410,2461626281
Machakos,316510656,5473697909,6365698749,7377468647,8006984686
Makueni,286428364,4721151803,5518006146,6242674031,6739213862
Mandera,398868586,6780543337,7905624561,9235568340,9978397074
Marsabit,257030151,4068447608,4619594617,5377268476,5813245866
Meru,306174018,5507866275,7314182293,7071667193,7712952567
Migori,281418611,4760063082,5309296405,6193178923,6684782429
Mombasa,257348388,4347575931,4876499637,5920733428,6309693626
Muranga,263304727,4321826973,5007170694,5622565040,6063309168
Nairobi,551081044,9896236826,12945531236,13633213384,14614500877
Nakuru,367286765,6961312531,7538207675,8949391312,9598499327
Nandi,240671304,3886848585,4269599515,4995866276,5391650811
Narok,260740010,4146381942,4819156662,5526966899,5979386611
Nyamira,218066085,3317084521,3778997920,4396954910,4741175780
Nyandarua,223815584,3435119044,3904071035,4522153694,4874173211
Nyeri,229174530,4071322926,4396892693,5068372053,5442275722
Samburu,195351468,2805092097,3190658950,3712564707,4009869487
Siaya,249701798,3971592205,5011619918,5302224374,5700169349
Taita/Taveta,186226557,2626482215,2979258343,3496112103,3765971117
Tana River,211636245,3118807123,3599930131,4155861183,4592137432
Tharaka-Nithi,179747922,2434590070,3436185939,3316934994,3571509839
Trans Nzoia,253667205,3923008857,4541683837,5347142363,5779340400
Turkana,456255741,7894398067,9235136626,10751065766,11634574357
Uasin Gishu,257110898,4066889893,4626095308,5490755455,5845778019
Vihiga,207404493,3028538739,3789121021,4097180370,4416704389
Wajir,333989882,5647521551,6402552662,7486061302,8091461061
West Pokot,224037773,3592826769,3859876496,4517464715,4885157418
